containment,filename
0.9997574581615328,0.fa
0.9979633401221996,1.fa
0.9980657640232108,2.fa
0.9967919340054996,3.fa
0.9895682875942866,4.fa
0.9738188976377953,5.fa
0.8883659638554217,6.fa
0.824263864322131,7.fa
0.9992867332382311,8.fa
0.9978655282817502,9.fa
0.9966801918111398,10.fa
0.9986919555264879,11.fa
0.9995014955134596,12.fa
0.999009900990099,13.fa
0.9988372093023256,14.fa
0.9994450610432852,15.fa
0.9360902255639098,16.fa
0.6812431243124313,17.fa
1.0,18.fa
0.5363439529848438,19.fa
0.052534562211981564,20.fa
0.9997845291962939,21.fa
0.9994765768123528,22.fa
0.9696189495365602,23.fa
0.9820295983086681,24.fa
1.0,25.fa
0.9883540372670807,26.fa
0.9532613211466556,27.fa
0.997667638483965,28.fa
1.0,29.fa
0.9987577639751553,30.fa
0.9994165694282381,31.fa
0.9759500642555535,32.fa
1.0,33.fa
0.9962306822465133,34.fa
0.9909935265972417,35.fa
0.9980026631158455,36.fa
0.9971949509116409,37.fa
0.9968722073279714,38.fa
0.999043062200957,39.fa
1.0,40.fa
0.996268656716418,41.fa
1.0,42.fa
0.9998581359058022,43.fa
0.9104607993011574,44.fa
0.9522560335781742,45.fa
0.9509499806126406,46.fa
0.9221439749608764,47.fa
0.99945295404814,48.fa
0.9751677852348993,49.fa
0.9961106309420916,50.fa
0.9984110169491526,51.fa
1.0,52.fa
1.0,53.fa
1.0,54.fa
0.6478423015450187,55.fa
0.9996380745566413,56.fa
0.9976525821596244,57.fa
0.8880429914912673,58.fa
0.9994108983799705,59.fa
0.9989664082687338,60.fa
0.9936102236421726,61.fa
1.0,62.fa
0.8675,63.fa
0.01636073423782921,64.fa
0.0052285050348567005,65.fa
0.07750410509031198,66.fa
0.054228855721393035,67.fa
